ullid;date;time;LocalTime[us];EngineCycleId#;ImageId#;ImageResult$;ImageLengthAnnounced[m]#;ImageLength[m]#;ImageWidth[m]#;MediaType$;PrintMode$;Destination$;JettedInkCyan[ml]#;JettedInkMagenta[ml]#;JettedInkYellow[ml]#;JettedInkBlack[ml]#;AccountedInkCyan[ml]#;AccountedInkMagenta[ml]#;AccountedInkYellow[ml]#;AccountedInkBlack[ml]#;PaperStepMarker$
42349964;08/02/2021;11:54:44;4,24133E+11;78;2;Succeeded;0.599990;0.599989;1.200.009;Paper;8_pass_pinCure;Freefall;1.314.297;1.637.555;1.396.425;1.472.987;1.406.000;1.752.000;1.494.000;1.576.000;None
42454502;08/02/2021;12:06:35;4,24843E+11;79;1;Succeeded;0.166116;0.166116;0.294979;Paper;2_pass;Freefall;0.016810;0.017396;0.025069;0.032126;0.017000;0.018000;0.026000;0.034000;None
42508051;08/02/2021;12:07:27;4,24895E+11;80;1;Succeeded;0.166116;0.166116;0.294979;Paper;4_pass;Freefall;0.019236;0.019877;0.028627;0.036389;0.020000;0.021000;0.030000;0.038000;None
42602650;08/02/2021;12:08:52;4,24981E+11;81;1;Succeeded;0.166116;0.166116;0.294979;Paper;8_pass;Freefall;0.019271;0.019924;0.028652;0.036395;0.020000;0.021000;0.030000;0.038000;None
42664747;08/02/2021;12:09:53;4,25042E+11;82;1;Succeeded;0.166116;0.166116;0.294979;Paper;4_pass_pinCure;Freefall;0.016683;0.017260;0.024860;0.031898;0.017000;0.018000;0.026000;0.034000;None
42762652;08/02/2021;12:11:08;4,25116E+11;83;1;Succeeded;0.166116;0.166116;0.294979;Paper;6_pass_pinCure;Freefall;0.024256;0.025130;0.035773;0.044869;0.025000;0.026000;0.038000;0.048000;None
42873091;08/02/2021;12:12:42;4,25211E+11;84;1;Succeeded;0.166116;0.166116;0.294979;Paper;8_pass_pinCure;Freefall;0.029550;0.030608;0.043185;0.053944;0.031000;0.032000;0.046000;0.057000;None
42997689;08/02/2021;12:29:04;4,26193E+11;85;1;Succeeded;0.222335;0.222335;0.293906;Paper;2_pass;Freefall;0.096766;0.088804;0.110367;0.073773;0.103000;0.095000;0.118000;0.078000;None
43060892;08/02/2021;12:39:52;4,26841E+11;86;1;Failed;0.166116;0.000000;0.294979;Paper;8_pass_pinCure;Freefall;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;None
43200486;08/02/2021;12:45:27;4,27176E+11;87;1;Succeeded;0.166116;0.166116;0.294979;Paper;8_pass_pinCure;Freefall;0.029550;0.030612;0.043188;0.053944;0.031000;0.032000;0.046000;0.057000;None
43296719;08/02/2021;12:46:41;4,2725E+11;88;1;Succeeded;0.166116;0.166116;0.294979;Paper;6_pass_pinCure;Freefall;0.024263;0.025119;0.035769;0.044870;0.025000;0.026000;0.038000;0.048000;None
43357835;08/02/2021;12:47:40;4,27309E+11;89;1;Succeeded;0.166116;0.166116;0.294979;Paper;4_pass_pinCure;Freefall;0.016645;0.017212;0.024810;0.031849;0.017000;0.018000;0.026000;0.034000;None
43451864;08/02/2021;12:49:05;4,27394E+11;90;1;Succeeded;0.166116;0.166116;0.294979;Paper;8_pass;Freefall;0.019271;0.019923;0.028651;0.036394;0.020000;0.021000;0.030000;0.038000;None
